Length_aa,Max_Identity_perc,Your_Initials,,,,,,,,,,,,,,,,,,,
5,100,JLA,,,,,,,,,,,,,,,,,,,
7,85.71,JLA,,,,,,,,,,,,,,,,,,,
9,66.85,JLA,,,,,,,,,,,,,,,,,,,
11,55,JLA,,,,,,,,,,,,,,,,,,,
5,80,SKB,,,,,,,,,,,,,,,,,,,
7,85.71,SKB,,,,,,,,,,,,,,,,,,,
9,66.85,SKB,,,,,,,,,,,,,,,,,,,
11,64,SKB,,,,,,,,,,,,,,,,,,,
5,100,KET,,,,,,,,,,,,,,,,,,,
7,85.71,KET,,,,,,,,,,,,,,,,,,,
9,67,KET,,,,,,,,,,,,,,,,,,,
11,68.25,KET,,,,,,,,,,,,,,,,,,,
5,100,RTM,,,,,,,,,,,,,,,,,,,
7,86,RTM,,,,,,,,,,,,,,,,,,,
9,77.87,RTM,,,,,,,,,,,,,,,,,,,
11,75,RTM,,,,,,,,,,,,,,,,,,,
5,100,GV,,,,,,,,,,,,,,,,,,,
7,71,GV,,,,,,,,,,,,,,,,,,,
9,77.8,GV,,,,,,,,,,,,,,,,,,,
11,49.8,GV,,,,,,,,,,,,,,,,,,,
5,100,RS,,,,,,,,,,,,,,,,,,,
7,71,RS,,,,,,,,,,,,,,,,,,,
9,66.85,RS,,,,,,,,,,,,,,,,,,,
11,63.64,RS,,,,,,,,,,,,,,,,,,,
5,100,LS,,,,,,,,,,,,,,,,,,,
7,71.43,LS,,,,,,,,,,,,,,,,,,,
9,76.28,LS,,,,,,,,,,,,,,,,,,,
11,63.88,LS,,,,,,,,,,,,,,,,,,,
5,100,TH,,,,,,,,,,,,,,,,,,,
7,71,TH,,,,,,,,,,,,,,,,,,,
9,66.85,TH,,,,,,,,,,,,,,,,,,,
11,60.67,TH,,,,,,,,,,,,,,,,,,,
5,80,SM,,,,,,,,,,,,,,,,,,,
7,71,SM,,,,,,,,,,,,,,,,,,,
9,56,SM,,,,,,,,,,,,,,,,,,,
11,64,SM,,,,,,,,,,,,,,,,,,,
5,100,AP,,,,,,,,,,,,,,,,,,,
7,86,AP,,,,,,,,,,,,,,,,,,,
9,77.88,AP,,,,,,,,,,,,,,,,,,,
11,58.4,AP,,,,,,,,,,,,,,,,,,,
5,100,ASO,,,,,,,,,,,,,,,,,,,
7,46.67,ASO,,,,,,,,,,,,,,,,,,,
9,66.75,ASO,,,,,,,,,,,,,,,,,,,
11,66.18,ASO,,,,,,,,,,,,,,,,,,,
